Date,Today_Open,Min_Date,Min_Close,Max_Date,Max_Close
19-Jul-2010,1480.0,22-Jul-2009,751.05,10-Jun-2010,1497.3
20-Jul-2010,1473.0,22-Jul-2009,751.05,10-Jun-2010,1497.3
21-Jul-2010,1435.0,22-Jul-2009,751.05,10-Jun-2010,1497.3
22-Jul-2010,1404.0,22-Jul-2009,751.05,10-Jun-2010,1497.3
23-Jul-2010,1368.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
26-Jul-2010,1371.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
27-Jul-2010,1335.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
28-Jul-2010,1331.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
29-Jul-2010,1321.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
30-Jul-2010,1385.1,03-Sep-2009,766.55,10-Jun-2010,1497.3
02-Aug-2010,1360.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
03-Aug-2010,1357.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
04-Aug-2010,1375.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
05-Aug-2010,1375.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
06-Aug-2010,1344.4,03-Sep-2009,766.55,10-Jun-2010,1497.3
09-Aug-2010,1349.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
10-Aug-2010,1344.9,03-Sep-2009,766.55,10-Jun-2010,1497.3
11-Aug-2010,1325.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
12-Aug-2010,1309.8,03-Sep-2009,766.55,10-Jun-2010,1497.3
13-Aug-2010,1345.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
16-Aug-2010,1395.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
17-Aug-2010,1350.05,03-Sep-2009,766.55,10-Jun-2010,1497.3
18-Aug-2010,1339.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
19-Aug-2010,1351.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
20-Aug-2010,1332.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
23-Aug-2010,1328.1,03-Sep-2009,766.55,10-Jun-2010,1497.3
24-Aug-2010,1330.6,03-Sep-2009,766.55,10-Jun-2010,1497.3
25-Aug-2010,1329.9,03-Sep-2009,766.55,10-Jun-2010,1497.3
26-Aug-2010,1337.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
27-Aug-2010,1339.15,03-Sep-2009,766.55,10-Jun-2010,1497.3
30-Aug-2010,1346.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
31-Aug-2010,1346.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
01-Sep-2010,1370.0,03-Sep-2009,766.55,10-Jun-2010,1497.3
